e-w,n-s,Propane
569209,4918792,5.9155
569197,4919000,4.412
569183,4919212,6.82
568367,4918830,1.625
568383,4918534,1.82
568378,4918343,1.471
568388,4917921,5.6575
568374,4918140,3.151
568660,4918547,2.083
568992,4918541,7.15
569364,4918525,6.724
569840,4918546,5.1055
569044,4918270,1.348
569697,4918135,2.959
570029,4918097,2.048
570029,4917839,1.82
570239,4918092,4.004
571558,4918024,6.8095
571614,4917807,1.8875
571609,4917585,3.772
571605,4917397,4.3175
571300,4918044,12.838
571030,4917847,2.155
571262,4918260,2.012
571098,4918054,2.845
570898,4918069,1.253
570699,4918078,1.182
570651,4917853,1.274
570657,4918254,1.8655
570657,4918478,1.38
570506,4918080,1.568
570454,4918264,1.4125
570455,4918470,2.728
570505,4918646,3.247
570440,4917895,0
570458,4917686,0
570241,4917710,0
570256,4917892,1.8805
570294,4918095,0
570023,4917649,1.0625
569835,4918127,1.2145
569618,4918344,2.101
569606,4918806,1.2065
569439,4918792,0
569398,4918349,0
569200,4918349,2.554
569004,4918817,0
568780,4918798,0
568594,4918803,4.3565
568797,4918356,1.94
568593,4918335,1.0725
571612,4918892,6.8095
568366,4918554,4.441
568799,4918545,5.9155
569216,4918532,12.735
569596,4918528,4.9995
568204,4917500,3.0755
568400,4917504,4.7945
568600,4917498,4.4755
568800,4917504,12.662
569020,4917501,10.6015
569204,4917495,3.1355
569401,4917500,3.962
569604,4918499,5.482
569801,4917499,1.173
569800,4917700,3.484
570003,4917707,5.5895
569549,4917706,4.3845
569400,4917700,19.593
569205,4917690,0
568986,4917699,0
568781,4917730,3.113
568593,4917740,1.974
568392,4917710,1.032
568198,4917731,0
568386,4918554,2.496
568386,4918554,1.95
568386,4918554,3.078
568386,4918554,2.59
568386,4918554,1.293
568386,4918554,0
568386,4918554,1.58
568386,4918554,1.3325
568386,4918554,4.1065
568386,4918554,1.287
568386,4918554,6.529
568386,4918554,3.004
570042,4917508,2.8425
570199,4917500,1.141
570400,4917500,2.101
569804,4918300,5.9135
570001,4918298,0
570200,4918290,0
570210,4918615,0
570002,4918604,0
570202,4918800,3.284
570050,4918824,0
570800,4918805,4.776
568200,4918300,1.3445
568200,4918100,0
568600,4918145,0
568804,4918150,2.497
568990,4918152,0
568989,4917908,3.22
569839,4917900,0
569639,4917900,1.168
569409,4917882,3.939
569201,4917899,0
569021,4917898,0
569140,4918141,0
569400,4918104,1.9975
568798,4917859,0
568583,4917814,1.0995
569180,4919212,2.279
569180,4919212,2.509
569180,4919212,6.9465
569198,4918997,3.451
569198,4918997,3.3005
569198,4918997,0
568367,4918830,1.623
568367,4918830,4.544
568367,4918830,2.982
568400,4917502,0
568400,4917502,0
568400,4917502,0
569840,4918550,0
569840,4918550,5.2935
569840,4918550,6.799
569834,4918128,1.252
569834,4918128,2.045
570025,4917651,0
570025,4917651,0
569840,4917900,1.912
569840,4917900,1.245
569398,4918349,0
569398,4918349,0
569200,4918349,0
569200,4918349,0
